prediction_id,batch_id,game_id,occurrence_key,target_official_date,away_team_id,home_team_id,p_away_win,p_home_win,predicted_side,outcome_status,away_score,home_score,home_win,actual_winner,classification_correct,individual_log_loss,individual_brier_score,status_code_normalized,status_detail_normalized,final_official_date,outcome_http_date_utc,outcome_response_received_at_utc,outcome_evidence_sha256
0a1d7f1eb5699a8c8e9f79a1cff5638128ee73f85b04cfb1c295aa2148cbb117,b1316f634fa25ecaf7a881bfe96393b7842a8a7eb9782f30ef77768b09656b9b,822928,9545779c09effd7306d3065a14c0aad2757aae7cb885ea581bd03a5f3d113352,2026-09-13,117,139,0.44243416154283111,0.55756583845716889,HOME,SCORED_FINAL,4,14,1,HOME,1,0.584174686733,0.195747987300,F,FINAL,2026-09-13,2026-09-14T12:07:32Z,2026-09-14T12:07:32Z,75ccf52fc7fb192a26b54787ab790744b4a485f851ff5bc1ea82bd863fa84327
127dfb90677d858f87cb5052c02cb2e06c3c1bef4685edfcb22e95052e911db2,b1316f634fa25ecaf7a881bfe96393b7842a8a7eb9782f30ef77768b09656b9b,824952,08e25cfc4487efd4fa36dde3380686f80f68076a212b131c9709eb7ba92becfa,2026-09-13,136,133,0.52943586906995899,0.47056413093004107,AWAY,SCORED_FINAL,7,8,1,HOME,0,0.753823025462,0.280302339458,F,FINAL,2026-09-13,2026-09-14T12:07:32Z,2026-09-14T12:07:32Z,75ccf52fc7fb192a26b54787ab790744b4a485f851ff5bc1ea82bd863fa84327
1afca9586dc64ef06e738cd709fc5856c3efa3c280f2f2d20d87d120a4ac7278,b1316f634fa25ecaf7a881bfe96393b7842a8a7eb9782f30ef77768b09656b9b,823734,9718c75b9c8b87666368a252e55f9145bf1cbe378d7d6c91c66a452cc9f17d9d,2026-09-13,113,158,0.39683559640554433,0.60316440359445567,HOME,SCORED_FINAL,4,3,0,AWAY,0,0.924233198912,0.363807297763,F,FINAL,2026-09-13,2026-09-14T12:07:32Z,2026-09-14T12:07:32Z,75ccf52fc7fb192a26b54787ab790744b4a485f851ff5bc1ea82bd863fa84327
1b221a7ba310711981e8a5c66756c7e020fe86e11d30c39987cafcfe9cc08a45,b1316f634fa25ecaf7a881bfe96393b7842a8a7eb9782f30ef77768b09656b9b,825033,bd94903afe6cb62cda3cee96aa674cf932bd378722cbfefcafb993fc1a0bb150,2026-09-13,140,109,0.46351265461325897,0.53648734538674103,HOME,SCORED_FINAL,7,6,0,AWAY,0,0.768921592055,0.287818671760,F,FINAL,2026-09-13,2026-09-14T12:07:32Z,2026-09-14T12:07:32Z,75ccf52fc7fb192a26b54787ab790744b4a485f851ff5bc1ea82bd863fa84327
2488473c2fd5bbe04b6a981b4ef1af63198d6fe133f14b3d236edb6de7885e88,b1316f634fa25ecaf7a881bfe96393b7842a8a7eb9782f30ef77768b09656b9b,824869,df6b05cfe866bdf49d30d167830cbafeab7d2e84765355c671b5e77d02d3b612,2026-09-13,143,144,0.45649410940327761,0.54350589059672239,HOME,SCORED_FINAL,9,4,0,AWAY,0,0.784179482857,0.295398653113,F,FINAL,2026-09-13,2026-09-14T12:07:32Z,2026-09-14T12:07:32Z,75ccf52fc7fb192a26b54787ab790744b4a485f851ff5bc1ea82bd863fa84327
282aea2beec357f8d9e2145a17b23f7e87248e4d9f0fb8092b933f4f7329bb77,b1316f634fa25ecaf7a881bfe96393b7842a8a7eb9782f30ef77768b09656b9b,823008,c00096dfc4e89b1b581d1358f3eca689e31503a281cee506d74bdf747f559550,2026-09-13,145,138,0.4858684903967424,0.5141315096032576,HOME,SCORED_FINAL,1,3,1,HOME,1,0.665276190993,0.236068189960,F,FINAL,2026-09-13,2026-09-14T12:07:32Z,2026-09-14T12:07:32Z,75ccf52fc7fb192a26b54787ab790744b4a485f851ff5bc1ea82bd863fa84327
303206b470b54bc42d894149e38eaa52d827e70f17106c9fc03a4626b8f6e2a5,b1316f634fa25ecaf7a881bfe96393b7842a8a7eb9782f30ef77768b09656b9b,823171,b4428da27bbd986026ba73fc45396a040edb5c77b0acfb120e3b82f9a8025047,2026-09-13,135,137,0.52124015797638723,0.47875984202361282,AWAY,SCORED_FINAL,6,4,0,AWAY,1,0.651544387627,0.229210986334,F,FINAL,2026-09-13,2026-09-14T12:07:32Z,2026-09-14T12:07:32Z,75ccf52fc7fb192a26b54787ab790744b4a485f851ff5bc1ea82bd863fa84327
313115c62d7985c26f196e726a70fbbf75da9b228bc9c24f0b2f8c0b7d3c94b9,b1316f634fa25ecaf7a881bfe96393b7842a8a7eb9782f30ef77768b09656b9b,824708,dc813646937d429e29dc0e88f0564349c23c11ce64c0fcaa4b655318afa81830,2026-09-13,118,111,0.41455247706461285,0.58544752293538715,HOME,SCORED_FINAL,1,4,1,HOME,1,0.535378727740,0.171853756240,F,FINAL,2026-09-13,2026-09-14T12:07:32Z,2026-09-14T12:07:32Z,75ccf52fc7fb192a26b54787ab790744b4a485f851ff5bc1ea82bd863fa84327
3d76012258583c5670c169e2f4d9fc825b55cdd8566c670670246f1c43140348,b1316f634fa25ecaf7a881bfe96393b7842a8a7eb9782f30ef77768b09656b9b,823495,3bcf9c2a535c5e64915ec3de1852ffbbbb76823d01434b64b21b64ead4afd583,2026-09-13,121,147,0.40939138732454039,0.59060861267545961,HOME,SCORED_FINAL,0,2,1,HOME,1,0.526601726854,0.167601308016,F,FINAL,2026-09-13,2026-09-14T12:07:32Z,2026-09-14T12:07:32Z,75ccf52fc7fb192a26b54787ab790744b4a485f851ff5bc1ea82bd863fa84327
465c6e3cc4ec4e54ebcd5d229bbe8c92d32a9f5792a2b05d62b3639d667328ce,b1316f634fa25ecaf7a881bfe96393b7842a8a7eb9782f30ef77768b09656b9b,822764,a2ffea2eb31924d800e42bd8a3f96eae1143950975bba888c24a7fa27cf90987,2026-09-13,110,141,0.46778614450132427,0.53221385549867573,HOME,SCORED_FINAL,1,8,1,HOME,1,0.630709886394,0.218823876987,F,FINAL,2026-09-13,2026-09-14T12:07:32Z,2026-09-14T12:07:32Z,75ccf52fc7fb192a26b54787ab790744b4a485f851ff5bc1ea82bd863fa84327
5c192db6c691395839476c70436462e0d339ac6719d642c3e3d70afcc20c3e1d,b1316f634fa25ecaf7a881bfe96393b7842a8a7eb9782f30ef77768b09656b9b,823815,9d3859158768cd90d4a1e48802ed5a5d20736cb4d6ace139983712353ae5d203,2026-09-13,119,146,0.52917220240671492,0.47082779759328514,AWAY,SCORED_FINAL,4,6,1,HOME,0,0.753262862023,0.280023219800,F,FINAL,2026-09-13,2026-09-14T12:07:32Z,2026-09-14T12:07:32Z,75ccf52fc7fb192a26b54787ab790744b4a485f851ff5bc1ea82bd863fa84327
