batch_id,game_id,occurrence_key,season,official_date,away_team_id,home_team_id,scheduled_start_utc,status_code,abstract_state,detailed_state,eligibility_status,exclusion_reason
50367170213d09c9af1a065c6704e28d481f22694653915e7af698b396e9fbf8,822678,bf4cc28ee9e5549030c5b746763ed5b6e36d69d0ce6258b1b15362e8d8234fe6,2026,2026-09-26,121,120,2026-09-26T16:35:00Z,S,Preview,Scheduled,ELIGIBLE,
50367170213d09c9af1a065c6704e28d481f22694653915e7af698b396e9fbf8,824219,a85075a2ed1286c7fb3dd7b520c52a008ed9f1a21d14d1b3d4a866d7a599dadf,2026,2026-09-26,134,116,2026-09-26T17:10:00Z,P,Preview,Pre-Game,ELIGIBLE,
50367170213d09c9af1a065c6704e28d481f22694653915e7af698b396e9fbf8,822759,5791a712eca33c33961adf2370e7d5b7d78f51872dad3b23430318a744f48b5b,2026,2026-09-26,113,141,2026-09-26T19:07:00Z,S,Preview,Scheduled,ELIGIBLE,
50367170213d09c9af1a065c6704e28d481f22694653915e7af698b396e9fbf8,823165,b07677927ef33fb350051bee64242752e352a8b35cd6f71171566dcc1202dce5,2026,2026-09-26,119,137,2026-09-26T20:05:00Z,S,Preview,Scheduled,ELIGIBLE,
50367170213d09c9af1a065c6704e28d481f22694653915e7af698b396e9fbf8,823653,61de00aa67d975b38399fd14787fbfe021174a4c491d9d120a7128652cfc2f3c,2026,2026-09-26,140,142,2026-09-26T20:10:00Z,S,Preview,Scheduled,ELIGIBLE,
50367170213d09c9af1a065c6704e28d481f22694653915e7af698b396e9fbf8,823813,5be742b674ef077992e3b9d45e476fc3945466fa75e1ab36d449d08592b6f265,2026,2026-09-26,144,146,2026-09-26T20:10:00Z,S,Preview,Scheduled,ELIGIBLE,
50367170213d09c9af1a065c6704e28d481f22694653915e7af698b396e9fbf8,823733,189d6f2201e4f8944143774c857a270d63a6c7b4858831daeb20a986c36d2bce,2026,2026-09-26,138,158,2026-09-26T23:10:00Z,S,Preview,Scheduled,ELIGIBLE,
50367170213d09c9af1a065c6704e28d481f22694653915e7af698b396e9fbf8,824057,c87e083f24aecf129e0057a8d82bfbaa8a0708670f0c6b3b3abe594d755037eb,2026,2026-09-26,114,118,2026-09-26T23:10:00Z,S,Preview,Scheduled,ELIGIBLE,
50367170213d09c9af1a065c6704e28d481f22694653915e7af698b396e9fbf8,824543,1c7b3a658b6064d609fc9bf87f4e607c3ee6505773d88ccdbf010c140d520d45,2026,2026-09-26,115,145,2026-09-26T23:10:00Z,S,Preview,Scheduled,ELIGIBLE,
50367170213d09c9af1a065c6704e28d481f22694653915e7af698b396e9fbf8,823407,5060252551b2664f3995b4d8c05bea4ccb020ad13b628830bb7096e31a14a90d,2026,2026-09-26,139,143,2026-09-26T23:15:00Z,S,Preview,Scheduled,ELIGIBLE,
50367170213d09c9af1a065c6704e28d481f22694653915e7af698b396e9fbf8,823245,e69a3b07e21318b9263ba3b93a0d1c6358fb30a412af777ab41999a24a0299a7,2026,2026-09-26,109,135,2026-09-27T00:40:00Z,S,Preview,Scheduled,ELIGIBLE,
50367170213d09c9af1a065c6704e28d481f22694653915e7af698b396e9fbf8,823083,ca5c0d7e567c40278bd7fe5555ff416a27a3cf4d83f063852921025a98c4a714,2026,2026-09-26,108,136,2026-09-27T01:40:00Z,S,Preview,Scheduled,ELIGIBLE,
50367170213d09c9af1a065c6704e28d481f22694653915e7af698b396e9fbf8,824949,a97ef5bbe26ca794a68d979ad68dbfad540d573e3f886f8d172ef983d03b0bad,2026,2026-09-26,117,133,2026-09-27T01:40:00Z,S,Preview,Scheduled,ELIGIBLE,
